Individual_code	Botanical_variety	Categories	Origin	Latitude	Longitude
TS.14	S. pimpinellifolium	Wild species	Ecuador	0.583333	-77.933333
TS.15	S. pimpinellifolium	Wild species	Ecuador	-3.628056	-79.888056
TS.16	S. pimpinellifolium	Wild species	Ecuador	-3.99	-79.36
TS.17	S. pimpinellifolium	Wild species	Peru	-9.94	-78.23
TS.18	S. pimpinellifolium	Wild species	Peru	-6.59	-79.87
TS.19	S. pimpinellifolium	Wild species	Peru	-8.39	-78.74
TS.20	S. pimpinellifolium	Wild species	Peru	-9.481667	-78.259167
TS.21	S. pimpinellifolium	Wild species	Peru	-13.074722	-76.4025
TS.22	S. pimpinellifolium	Wild species	Peru	-11.475	-77.108333
TS.23	S. pimpinellifolium	Wild species	Peru	-12.764722	-76.505278
TS.50	S. pimpinellifolium	Wild species	Ecuador	-2.733333	-79.916667
TS.77	S. pimpinellifolium	Wild species	Ecuador	0.866667	-79.85
TS.79	S. pimpinellifolium	Wild species	Peru	-14.628889	-75.214167
TS.92	S. pimpinellifolium	Wild species	Peru	-6.15	-79.733333
TS.123	S. pimpinellifolium	Wild species	Peru	-8.116667	-79.033333
TS.124	S. pimpinellifolium	Wild species	Ecuador	-3.458333	-79.966667
TS.144	S. pimpinellifolium	Wild species	Ecuador	-1.1	-79.483333
TS.145	S. pimpinellifolium	Wild species	Peru	-3.566667	-80.466667
TS.156	S. pimpinellifolium	Wild species	Peru	-5.775833	-78.783056
TS.164	S. pimpinellifolium	Wild species	Peru	-6.37	-79.79
TS.182	S. pimpinellifolium	Wild species	Peru	-5.74	-78.67
TS.244	S. pimpinellifolium	Wild species	Peru	-7.333333	-79.583333
TS.265	S. pimpinellifolium	Wild species	Peru	-5.260833	-79.964167
TS.266	S. pimpinellifolium	Wild species	Peru	-5.216667	-80.083333
TS.291	S. pimpinellifolium	Wild species	Peru	-8.39	-78.74
TS.412	S. pimpinellifolium	Wild species	Peru	-8.116667	-79.033333
TS.414	S. pimpinellifolium	Wild species	Peru	-11.970833	-76.791667
TS.415	S. pimpinellifolium	Wild species	Peru	-8.925	-78.566667
TS.417	S. pimpinellifolium	Wild species	Peru	-15.456389	-74.445833
TS.418	S. pimpinellifolium	Wild species	Peru	-7.2	-78.983333
TS.420	S. pimpinellifolium	Wild species	Peru	-5.5875	-78.550556
TS.421	S. pimpinellifolium	Wild species	Peru	-5.925	-78.05
TS.434	S. pimpinellifolium	Wild species	Peru	-7.716667	-79.116667
TS.435	S. pimpinellifolium	Wild species	Peru	-9.27	-78.47
TS.437	S. pimpinellifolium	Wild species	Peru	-7.333333	-79.583333
TS.439	S. pimpinellifolium	Wild species	Peru	-3.8	-80.7
TS.440	S. pimpinellifolium	Wild species	Ecuador	-0.95	-90.966667
TS.31	S. lycopersicum var cerasiforme	Wild species	Honduras	15.383333	-87.816667
TS.34	S. lycopersicum var cerasiforme	Wild species	Peru	-13.636944	-70.460556
TS.53	S. lycopersicum var cerasiforme	Wild species	Ecuador	-3.935278	-79.646111
TS.56	S. lycopersicum var cerasiforme	Wild species	Peru	-13.55	-72.616667
TS.57	S. lycopersicum var cerasiforme	Wild species	Peru	-12.616667	-73.791667
TS.61	S. lycopersicum var cerasiforme	Wild species	Peru	-14.1	-69.025
TS.66	S. lycopersicum var cerasiforme	Wild species	Peru	-11.116667	-75.35
TS.87	S. lycopersicum var cerasiforme	Latin American cultivar;Wild species	Peru	-8.116667	-79.033333
TS.96	S. lycopersicum var cerasiforme	Wild species	Mexico	19.166667	-96.133333
TS.129	S. lycopersicum var cerasiforme	Latin American cultivar;Wild species	Peru	-6.05	-76.966667
TS.134	S. lycopersicum var cerasiforme	Wild species	Ecuador	-0.816667	-80.233333
TS.148	S. lycopersicum var cerasiforme	Wild species	Peru	-13.116667	-72.366667
TS.158	S. lycopersicum var cerasiforme	Wild species	Peru	-12.866667	-72.716667
TS.181	S. lycopersicum var cerasiforme	Wild species	Mexico 	18.466667	-97.4
TS.202	S. lycopersicum var cerasiforme	Latin American cultivar 	Brazil	-27.6	-48.55
TS.223	S. lycopersicum var cerasiforme	Wild species	Peru	-13.636944	-70.460556
TS.229	S. lycopersicum var cerasiforme	Wild species	Brazil	-12.75	-39.433333
TS.238	S. lycopersicum var cerasiforme	Wild species	Ecuador	-2.17	-78.03
TS.262	S. lycopersicum var cerasiforme	Wild species	Ecuador	-3.99	-79.36
TS.273	S. lycopersicum var cerasiforme	Wild species	Peru	-13.641667	-72.908333
TS.281	S. lycopersicum var cerasiforme	Wild species	Peru	-11.166667	-74.466667
TS.295	S. lycopersicum var cerasiforme	Latin American cultivar;Wild species	Ecuador	-2.733333	-79.916667
TS.298	S. lycopersicum var cerasiforme	Wild species	Peru	-6.733333	-76.333333
TS.299	S. lycopersicum var cerasiforme	Wild species	Ecuador	-3.454444	-78.555278
TS.300	S. lycopersicum var cerasiforme	Wild species	Ecuador	-0.983333	-77.816667
TS.301	S. lycopersicum var cerasiforme	Wild species	Peru	-12.678333	-71.301111
TS.304	S. lycopersicum var cerasiforme	 Latin American cultivar 	Peru	-6.501389	-76.365556
TS.68	S. lycopersicum	Latin American cultivar 	Peru	-6.766667	-79.85
TS.127	S. lycopersicum	Landrace/Latin American cultivar 	Peru	-7.227222	-79.429444
TS.135	S. lycopersicum	Landrace/Latin American cultivar 	Chile	-18.416667	-70.15
TS.150	S. lycopersicum	Landrace/Latin American cultivar 	Peru	-6.501389	-76.365556
TS.184	S. lycopersicum		Peru	-6.487778	-76.36
TS.241	S. lycopersicum	Latin American cultivar 	Ecuador	-0.216667	-78.5
TS.242	S. lycopersicum	Latin American cultivar 	Peru	-13.158333	-74.223889
TS.256	S. lycopersicum	Latin American cultivar 	Peru	-6.222778	-76.819167
TS.261	S. lycopersicum	Wild species	Brazil	-19.45	-44.233333
TS.146	S. neorickii		Peru	-3.4	-79.183333
TS.208	S. galapagense		Ecuador	-0.75	-90.316667
TS.199	S. cheesmaniae		Ecuador	-1	-91.416667
TS.207	S. cheesmaniae		Ecuador	-0.4225	-91.116667
TS.217	S. cheesmaniae		Ecuador	-0.643889	-90.329444
TS.408	S. chilense		Peru	-17.552778	-70.028333
En.Tibi	Unknown	Unknown	Unknown		
